chapter	old	new	src
75	making (הָרִים*""!)!) the plural	making (הָרִים) the plural	hand-italic: image1864: 影像作 in making (הָרִים) the plural
36	is *(יהוה** נְאֻם) *a dictum	is (נְאֻם יהוה) *a dictum	hand-italic: image1864: 影像作 The usual combination is (נְאֻם יְהוָֹה) *a dictum of Jehovah,*；希伯来两词被切反了序
36	1 *(דָּוִד* נאם) and *the man	1 (נְאֻם דָּוִד) and *the man*	hand-italic: image1864: 影像作 2 Sam. xxiii. 1 (נְאֻם דָּוִד) and *the man*
36	Num. xxiv, 15, The constant	Num. xxiv. 15. The constant	hand-italic: image1864: 影像作 Num. xxiv. 15.  The constant use
36	from sin *(פשע))* which here	from sin (פֶּשַׁע), which here	hand-italic: image1864: 影像作 but from sin (פֶּשַׁע), which here supplies their place
36	version of יהוה נאם in the English	version of נְאֻם יְהוָֹה in the English	hand-italic: image1864: 影像作 familiar version of נְאֻם יְהוָֹה in the English Bible；两词被切反了序
36	to make ^^^"17 denote the subject	to make לְרָשָׁע denote the subject	hand-italic: image1864: 影像作 is to make לְרָשָׁע denote the subject
36	analogy of Ps. ex. 1, where	analogy of Ps. cx. 1, where	hand-italic: image1864: 影像作 Ps. cx. 1；ex 是 cx 被读崩
36	not supported by Ps. ex. 1, is	not supported by Ps. cx. 1, is	hand-italic: image1864: 同上
119	on Ps. ex. 8. It is here	on Ps. cx. 3. It is here	hand-roman: 影像作 on Ps. cx. 3；ex 是 cx、8 是 3 被读崩
112	See above, on Ps. ex. 1.	See above, on Ps. cx. 1.	hand-roman: ex 不是合法罗马数字，全书这一串都是 cx（诗篇 110）
128	the same as in Ps. ex. 2.	the same as in Ps. cx. 2.	hand-roman: 同上
68	Gen. iii. 15, Ps. ex. 6,	Gen. iii. 15, Ps. cx. 6,	hand-roman: 同上
66	or *head* from Ps. ex. 7.	or *head* from Ps. cx. 7.	hand-roman: 同上
45	compare Ps. ex. 5-7.	compare Ps. cx. 5-7.	hand-roman: 同上
128	on Ps. hi. 10 (8), and compare	on Ps. lii. 10 (8), and compare	hand-roman: 罗马数字连字误读（li→h、xix→six、liii→lui），按所引经文核定：诗 52:10(8)「青橄榄树」正合此处的 luxuriance
59	compare Ps. hi. 4 (3). The English	compare Ps. lii. 4 (3). The English	hand-roman: 罗马数字连字误读（li→h、xix→six、liii→lui），按所引经文核定：诗 52:4(3)，同段讲 biting speeches
64	See above, on Ps. hi. 4 (2), lvii.	See above, on Ps. lii. 4 (2), lvii.	hand-roman: 罗马数字连字误读（li→h、xix→six、liii→lui），按所引经文核定：诗 52:4(2)「舌头图谋毁灭」
98	citation from Isa. hi. 10, which	citation from Isa. lii. 10, which	hand-roman: 罗马数字连字误读（li→h、xix→six、liii→lui），按所引经文核定：赛 52:10「地极都看见我们神的救恩」，正是下文 salvation
13	sleep, in Jer. h. 39, 57.	sleep, in Jer. li. 39, 57.	hand-roman: 罗马数字连字误读（li→h、xix→six、liii→lui），按所引经文核定：耶 51:39、57「永睡不醒」
78	on Ps. h. 12 (10), and	on Ps. li. 12 (10), and	hand-roman: 罗马数字连字误读（li→h、xix→six、liii→lui），按所引经文核定：诗 51:12(10)「造清洁的心，重新有正直的灵」
78	on Ps. six. 3 (2)	on Ps. xix. 3 (2)	hand-roman: 罗马数字连字误读（li→h、xix→six、liii→lui），按所引经文核定：诗 19:3(2)「这日到那日发出言语」
82	my note on Isa. lui. 4.	my note on Isa. liii. 4.	hand-roman: 罗马数字连字误读（li→h、xix→six、liii→lui），按所引经文核定：赛 53:4
22	presents the suff"erer as stripped	presents the sufferer as stripped	hand-quote: 引号落在词中间（连字被读成引号）；witness1850 作 the sufferer as stripped by his enemies
39	what he sufi"ers is but one link	what he suffers is but one link	hand-quote: 引号落在词中间（连字被读成引号）；witness1850 作 what he suffers is but one link
5	personal off"enders, so here	personal offenders, so here	hand-quote: 引号落在词中间（连字被读成引号）；witness1850 作 offenders, so here what was said
90	The sense is no"t that no one	The sense is not that no one	hand-quote: 引号落在词中间（连字被读成引号）；witness1850 作 The sense is not that no one can
88	The fu"st clause is a repetition	The first clause is a repetition	hand-quote: 引号落在词中间（连字被读成引号）；「The first clause is a repetition」是他的固定说法，全书多处
89	Compare"e the form of expression	Compare the form of expression	hand-quote: 引号落在词中间（连字被读成引号）；「Compare the form of expression」是他的固定说法
25	*u-ay*	*way*	hand-hyphen: 行末连字断在第一个字母后面；1850 三卷本作 The way meant in the last clause
31	*And I-on thee did trust	*And I on thee did trust	hand-hyphen: 行末连字断在第一个字母后面；1850 三卷本作 And I on thee did trust, Jehovah
66	*M-an,* frail or mortal man	*Man,* frail or mortal man	hand-hyphen: 行末连字断在第一个字母后面；1850 三卷本作 Man, frail or mortal man
108	I u-ill praise thee	I will praise thee	hand-hyphen: 行末连字断在第一个字母后面；1850 三卷本作 I will praise thee among the peoples
109	G-od remembers guilt	God remembers guilt	hand-hyphen: 行末连字断在第一个字母后面；1850 三卷本作 God remembers guilt
119	*with-a whole heart seek him	*with a whole heart seek him	hand-hyphen: 行末连字断在第一个字母后面；诗 119:2「一心寻求他」，with-a 只能是 with a
4	of"	of	image1864: 裁图两遍一致，标点级
7	"While	While	image1864: 裁图两遍一致，标点级
12	answer"	answer	image1864: 裁图两遍一致，标点级
12	puff"	puff	image1864: 裁图两遍一致，标点级
14	"well	well	image1864: 裁图两遍一致，标点级
18	"wished	wished	image1864: 裁图两遍一致，标点级
22	thereof "	thereof	image1864: 裁图两遍一致，标点级
22	off"	off	image1864: 裁图两遍一致，标点级
25	the"	the	image1864: 裁图两遍一致，标点级
32	the "	the	image1864: 裁图两遍一致，标点级
35	chaff"	chaff	image1864: 裁图两遍一致，标点级
38	"While	While	image1864: 裁图两遍一致，标点级
41	mean ""	mean "	image1864: 裁图两遍一致，标点级
45	and"	and	image1864: 裁图两遍一致，标点级
51	settled"	settled	image1864: 裁图两遍一致，标点级
69	"is	is	image1864: 裁图两遍一致，标点级
72	"earth	earth	image1864: 裁图两遍一致，标点级
74	"Why	Why	image1864: 裁图两遍一致，标点级
74	staff"	staff	image1864: 裁图两遍一致，标点级
74	"liii	liii	image1864: 裁图两遍一致，标点级
77	himself"	himself	image1864: 裁图两遍一致，标点级
78	"Wonder	Wonder	image1864: 裁图两遍一致，标点级
78	off"	off	image1864: 裁图两遍一致，标点级
81	"people	people	image1864: 裁图两遍一致，标点级
89	"What	What	image1864: 裁图两遍一致，标点级
99	"viii	viii	image1864: 裁图两遍一致，标点级
110	priestly"	priestly	image1864: 裁图两遍一致，标点级
118	off"	off	image1864: 裁图两遍一致，标点级
119	verb ("	verb (	image1864: 裁图两遍一致，标点级
120	The"	The	image1864: 裁图两遍一致，标点级
120	"What	What	image1864: 裁图两遍一致，标点级
128	conjunction ("	conjunction (	image1864: 裁图两遍一致，标点级
134	"We	We	image1864: 裁图两遍一致，标点级
138	"With	With	image1864: 裁图两遍一致，标点级
141	"When	When	image1864: 裁图两遍一致，标点级
148	"Not	Not	image1864: 裁图两遍一致，标点级
3	*Absalom., his son*	*Absalom, his son*	image1864: 整页比对——1864 印面作 Absalom, his son（此前照 1850 证人删掉了逗号，那是两版排印不同）
96	The phrase from *day to day*	The phrase *from day to day*	hand-crop8: 裁图：印面 from 在斜体内（上游 / → f 规则接管后重新锚定）
78	it means,means to set	it means to set	witness1850: 1850 三卷本作 it means to set a mark；上游把 ns 补成 means 之后重新锚定
30	dumb,,	dumb,	witness1850: 双标点并一个
16	ii them is all my delight.	in them is all my delight.	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
18	*The hands of death have enclosed me	*The bands of death have enclosed me	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
18	*The hands of hell surrounded me	*The bands of hell surrounded me	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
31	mid to my neighbours very	and to my neighbours very	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
37	*and he ivas not found,*	*and he was not found,*	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
41	he shall be 2)prospered in the land	he shall be prospered in the land	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
43	(0) *my soul	(O) *my soul	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
44	io a strange God	to a strange God	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
45	cloths shall she he conducted	cloths shall she be conducted	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
51	and I shall he whiter than snow	and I shall be whiter than snow	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
55	*Se has stretched out his hands	*He has stretched out his hands	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
59	*They shall he taken,* caught, surprised	*They shall be taken,* caught, surprised	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
60	*city of defence, ox fortification,*	*city of defence, or fortification,*	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
67	*thou shall guide them	*thou shalt guide them	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
71	(or *he consumed)*	(or *be consumed)*	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
90	though 6}synonymous, is not identical	though synonymous, is not identical	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
112	shall he his seed	shall be his seed	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
112	shall not he afraid of evil tidings	shall not be afraid of evil tidings	image1864: 整页比对两遍一致（上游 raw 里锚不唯一，落在已发布正文）
18	ness of foot was,s prized	ness of foot was prized	image1864: 整页比对两遍一致（碎片重出／标点，上游已被改写，落在已发布正文）
36	marked in the;he original	marked in the original	image1864: 整页比对两遍一致（碎片重出／标点，上游已被改写，落在已发布正文）
68	heap upon)on us	heap upon us	image1864: 整页比对两遍一致（碎片重出／标点，上游已被改写，落在已发布正文）
50	symbol of the t}typical	symbol of the typical	image1864: 整页比对两遍一致（碎片重出／标点，上游已被改写，落在已发布正文）
119	literally to;o *comfort	literally to *comfort	image1864: 整页比对两遍一致（碎片重出／标点，上游已被改写，落在已发布正文）
44	a scoffs and a jest	a scoff and a jest	image1864: 整页比对两遍一致（碎片重出／标点，上游已被改写，落在已发布正文）
22	ends of the earthy and worship	ends of the earth, and worship	image1864: 整页比对两遍一致（碎片重出／标点，上游已被改写，落在已发布正文）
75	Idumæa and Arabia Petraea	Idumæa and Arabia Petræa	image1864: 整页比对两遍一致（碎片重出／标点，上游已被改写，落在已发布正文）
118	xlvii. 2(l),with Ps. xvii. 1	xlvii. 2 (1), with Ps. xvii. 1	image1864: 整页比对两遍一致（碎片重出／标点，上游已被改写，落在已发布正文）
37	the wicked shall he broken	the wicked shall be broken	image1864: 整页比对两遍一致（上游已改写，落在已发布正文）
66	thine enemies lie lie to thee.	thine enemies lie to thee.	image1864: 整页比对两遍一致（上游已改写，落在已发布正文）（锚随「影像读数自带句点不再与原有句点重出」的修复重定）
45	her companions)anions, brought	her companions, brought	image1864: 整页比对——碎片重出（上游改写后产生，只在已发布正文里）
73	*they surpass)ass the desires	*they surpass the desires	image1864: 整页比对——碎片重出（上游改写后产生，只在已发布正文里）
96	The expression families;families	The expression families	image1864: 整页比对——碎片重出（上游改写后产生，只在已发布正文里）
101	A Psalm. 31 Mercy and judgment	A Psalm. Mercy and judgment	image1864: 整页比对——碎片/整词重出、标点（上游改写后产生）
66	The word fatlings is especially	The word translated fatlings is especially	image1864: 整页比对——碎片/整词重出、标点（上游改写后产生）
42	*My enemies, enemies,* oppressors	*My enemies,* oppressors	image1864: 整页比对——碎片/整词重出、标点（上游改写后产生）
18	*My iniquity iniquity* can only	*My iniquity* can only	image1864: 整页比对——碎片/整词重出、标点（上游改写后产生）
137	at large. The last last clause	at large. The last clause	image1864: 整页比对——碎片/整词重出、标点（上游改写后产生）
39	*Look away ay from me	*Look away from me	image1864: 整页比对——碎片/整词重出、标点（上游改写后产生）
91	the A Almighty he is lodged	the Almighty he is lodged	image1864: 整页比对——碎片/整词重出、标点（上游改写后产生）
118	unto eter)eternity* (is) *his mercy.*	unto eternity* (is) *his mercy.*	image1864: 碎片重出（斜体括号断开之后重新锚定）
119	my shield* (art) *thou*—*-for thy word	my shield* (art) *thou*—*for thy word	image1864: 破折号已在斜体外，那一横是多出来的（斜体括号断开之后重新锚定）
36	after* יהוה 0^2,* can only indicate	after נְאֻם יְהוָֹה, can only indicate	image1864: 影像作 after נְאֻם יְהוָֹה, can only indicate（斜体括号断开之后重新锚定）
36	in Prov. xxx. 1* (")הגבר* *נאם),* both	in Prov. xxx. 1 (נְאֻם הַגֶּבֶר), both	image1864: 影像作 Prov. xxx. 1 (נְאֻם הַגֶּבֶר), both（斜体括号断开之后重新锚定）
52	mighty* ((man) ?)*! The mercy	mighty (man)? The mercy	image1864: 影像作 mighty (man)? The mercy（斜体括号断开之后重新锚定）
69	verbal root (שלם), and belongs	verbal root (שָׁלַם), and belongs	image1864+1850: 两版影像按原生分辨率逐词读（1864 400dpi / 1850 500dpi），三个派生词与词根、以及「the one before us」那个词全部定案
69	derivatives (D7li^, *u>^,* D^li^, it has no existence	derivatives (שִׁלֻּם, שֶׁלֶם, שִׁלֵּם), it has no existence	image1864+1850: 两版影像按原生分辨率逐词读（1864 400dpi / 1850 500dpi），三个派生词与词根、以及「the one before us」那个词全部定案
69	the one before us (שלומים).	the one before us (שִׁלּוּמִים).	image1864+1850: 两版影像按原生分辨率逐词读（1864 400dpi / 1850 500dpi），三个派生词与词根、以及「the one before us」那个词全部定案
32	gives the'Z) its usual	gives the כִּי its usual	image1864: 影像作 gives the כִּי its usual and proper meaning（kaf 带 dagesh+hiriq，后跟 yod，印面不带括号）
10	b (דרש")l) ha	b (דרש)l) ha	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
102	b (ברא")2) *c	b (ברא)2) *c	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
107	word ("צר) sh	word (צר) sh	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
119	th (]3"עַל־כֵ	th (]3עַל־כֵ	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
126	?1-Tn "מֹשֵׁך	?1-Tn מֹשֵׁך	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
132	 *(b* "זכר) a	 *(b* זכר) a	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
139	* is ("אֲשֶׁר	* is (אֲשֶׁר	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
140	verb ("גור) i	verb (גור) i	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
16	form ("חסידיך	form (חסידיך	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
20	al* (^"אַזְכָ	al* (^אַזְכָ	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
22	ving ^"כארי i	ving ^כארי i	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
22	 for ""כארי) 	 for "כארי) 	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
29	 verb "אָמַר,	 verb אָמַר,	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
32	alm (^"מַשְׂכ	alm (^מַשְׂכ	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
33	verb ("אָמַר)	verb (אָמַר)	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
35	 verb "סגר is	 verb סגר is	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
35	in f, "סגר as	in f, סגר as	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
41	 (יקבץ") may 	 (יקבץ) may 	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
55	ישימות"!^^), 	ישימות!^^), 	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
73	rase ("בעיר) 	rase (בעיר) 	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
98	alm* ("מִזְמו	alm* (מִזְמו	image1864: 印面上这里是干净的希伯来词，没有引号（诗107「The ambiguous word (צר)」逐行核过）；余下的拉丁残渣归希伯来那条线
58	breaking off", and breaking through	breaking off, and breaking through	image1864: 印面作 breaking off, and breaking through——ff 连字被读成了引号
58	cut off", *i.* e. so that	cut off, *i. e.* so that	image1864: 印面作 cut off, *i. e.* so that they may be cut off
107	a former time, ". *e.*	a former time, *i. e.*	image1864: i. e. 斜体，i 被读成引号
87	knowing me, ". *e.*	knowing me, *i. e.*	image1864: i. e. 斜体，i 被读成引号
81	or feast, \*". e. the great day	or feast, *i. e.* the great day	image1864: 印面作 or feast, *i. e.* the great day of the Passover
10	thoughts." This maybe transferred	thoughts." This may be transferred	image1864: 印面 This may be transferred，may be 是两个词
105	of Abraham, «' Restore	of Abraham, " Restore	image1864: 按 1864 影像逐处定案：印面作 “ Restore the man his wife … and thou shalt live.”
105	expressed *in* the analogous	expressed in the analogous	image1864: 按 1864 影像逐处定案：印面 in 是正体
107	preposition ("ly)	preposition (עַד)	image1864: 影像上是干净的希伯来词，此前是拉丁残渣（诗 107:18「the Hebrew preposition (עַד) which is stronger than (אֶל) to」）
119	noun (דֶּרֶךְ))	noun (דֶּרֶךְ)	image1864: 影像上是干净的希伯来词，此前是拉丁残渣：多一个右括号
119	verb (דָּבַק)"^)	verb (דָּבַק)	image1864: 影像上是干净的希伯来词，此前是拉丁残渣
20	noun (7^"!)	noun (דֶּגֶל)	image1864: 影像上是干净的希伯来词，此前是拉丁残渣：印面作 a noun (דֶּגֶל) used by Moses
20	on Ps. V. 12 (11)	on Ps. v. 12 (11)	image1864: 按 1864 影像逐处定案：印面小写 v.
38	and ''gave no answer"	and " gave no answer"	image1864: 开引号被读成两个撇号 ''；印面作 and “gave no answer” to the Roman Governor
90	same object. " "Who	same object. " Who	image1864: 按 1864 影像逐处定案：印面只有一个开引号，我们重了一个
90	preposition ("7^)	preposition (עַד)	image1864: 影像上是干净的希伯来词，此前是拉丁残渣：印面作 The Hebrew preposition (עַד) is stronger than our to
37	Israel. "•" For	Israel. " For	image1864: 按 1864 影像逐处定案：印面是一个开引号加一粒墨点
37	0^21 "1|5^^	יְקַר בָּרִים	image1864: 影像上是干净的希伯来词，此前是拉丁残渣：影像作 יְקַר בָּרִים（第二词印面是 bet 不是 kaf，照印面录）
59	clause—'' if they	clause—" if they	image1864: 开引号被读成两个撇号 ''
59	'• *say they,''*	" *say they,*"	image1864: 开引号被读成两个撇号 ''；印面作 “ say they,”
16	13): '' Make	13): " Make	image1864: 开引号被读成两个撇号 ''
29	glory!''*	glory!"*	image1864: 开引号被读成两个撇号 ''：印面作 says “ glory ! ”
36	my heart.'' There	my heart." There	image1864: 开引号被读成两个撇号 ''
36	his eyes,''*	his eyes,"*	image1864: 开引号被读成两个撇号 ''
5	those ''groanings	those " groanings	image1864: 开引号被读成两个撇号 ''；印面作 “ groanings which cannot be uttered,”
28	he may "not be	he may not be	image1864: 印面是一个墨点/断铅，不是引号
57	of other "saints.	of other saints.	image1864: 印面是一个墨点/断铅，不是引号
41	malice. " The ambiguous	malice. The ambiguous	image1864: 印面是一个墨点/断铅，不是引号
18	*From* "it; may have reference *to fire;*	*From it* may have reference to *fire;*	image1864: 按 1864 影像逐处定案：印面作 From it may have reference to fire ;（From it 斜体）
18	word (!"))	word (רָב)	image1864: 影像上是干净的希伯来词，此前是拉丁残渣
18	xix. 21,1 Sam. xiv. 6	xix. 21, 1 Sam. xiv. 6	image1864: 按 1864 影像逐处定案
2	applied to "a particular	applied to a particular	image1864: 印面是一个墨点/断铅，不是引号
4	Absalom (2" Sam, xv. 4,7)	Absalom (2 Sam. xv. 4, 7)	image1864: 按 1864 影像逐处定案：印面作 (2 Sam. xv. 4, 7)
34	omitted being ").	omitted being ו.	image1864: 影像上是干净的希伯来词，此前是拉丁残渣：印面作 the only letter omitted being ו
84	derivative noon (Hi)")	derivative noun (רִנָּה)	image1864: 影像上是干净的希伯来词，此前是拉丁残渣：印面作 the derivative noun (רִנָּה)；noon 也是误读
84	really existing, 'and the giver	really existing, and the giver	image1864: 印面是一个墨点/断铅，不是引号
139	word ("1111^)	word (שַׁחַר)	image1864: 影像上是干净的希伯来词，此前是拉丁残渣：印面作 The Hebrew word (שַׁחַר)
53	form ("ID and;iD)	form (סר and סג)	image1864: 影像上是干净的希伯来词，此前是拉丁残渣
43	*with a harp* ("1^32)	*with a harp* (כִּנּוֹר)	image1864: 影像上是干净的希伯来词，此前是拉丁残渣
25	and two with "1, while \*) and p are left out	and two with ר, while ו and ק are left out	image1864: 影像上是干净的希伯来词，此前是拉丁残渣：印面作 two with ר, while ו and ק are left out
49	(]>2" ^^^ ילין)	(יבין and ילין)	image1864: 影像上是干净的希伯来词，此前是拉丁残渣：印面作 differ only in a single letter (יבין and ילין)
22	(")אֲסַפֵּר)	(אֲסַפֵּר)	image1864: 影像上是干净的希伯来词，此前是拉丁残渣
22	parted; my* no *heart	parted; my heart	image1864: 按 1864 影像逐处定案：跨页处混进一个 no，印面没有
37	v..	v.	witness1850: 双标点并一个
45	xxiii..	xxiii.	witness1850: 双标点并一个
46	Isa..	Isa.	witness1850: 双标点并一个
68	x..	x.	witness1850: 双标点并一个
81	xvii..	xvii.	witness1850: 双标点并一个
87	Psalm..	Psalm.	witness1850: 双标点并一个
88	Psalm..	Psalm.	witness1850: 双标点并一个
101	them..	them.	witness1850: 双标点并一个
101	Ps..	Ps.	witness1850: 双标点并一个
144	xxxix..	xxxix.	witness1850: 双标点并一个
101	i. 1, lii. 4-7 (2-5), and compare Ps. XV. 3. The verb translated *sla	i. 1, lii. 4-7 (2-5), and compare Ps. xv. 3. The verb translated *sla	refs: 章节号是大写罗马数字（按全书引用体例）
102	 haste* (and) *answer me* Compare Ps. X. 1, xiii. 1, xvii. 6, xviii.	 haste* (and) *answer me* Compare Ps. x. 1, xiii. 1, xvii. 6, xviii.	refs: 章节号是大写罗马数字（按全书引用体例）
102	the purpose of removing it, as in Ps. XXX. 12 (11); then to the loosen	the purpose of removing it, as in Ps. xxx. 12 (11); then to the loosen	refs: 章节号是大写罗马数字（按全书引用体例）
103	e is an unusual one borrowed from Deut, xxix. 21, where *sickness	e is an unusual one borrowed from Deut. xxix. 21, where *sickness	refs: 书卷缩写后是逗号（按全书引用体例）
103	finite perfections. See above, on Ps. V. 12 (11), xxii. 4 (3).	finite perfections. See above, on Ps. v. 12 (11), xxii. 4 (3).	refs: 章节号是大写罗马数字（按全书引用体例）
104	6 (15), lxxvi. 7 (6), and compare Isa. 1. 2. The Hebrew particle mean	6 (15), lxxvi. 7 (6), and compare Isa. l. 2. The Hebrew particle mean	refs: 罗马 50 读成数字 1（按全书引用体例）
104	expression which occurs above, in Ps. 1. 10.	expression which occurs above, in Ps. l. 10.	refs: 罗马 50 读成数字 1（按全书引用体例）
104	r cultivation, as in Exod. i. 14, Lev. XXV. 39, it has that of compulso	r cultivation, as in Exod. i. 14, Lev. xxv. 39, it has that of compulso	refs: 章节号是大写罗马数字（按全书引用体例）
105	,* literally *cut;* see above, on Ps. 1. 5. *His oath* (which he swa	,* literally *cut;* see above, on Ps. l. 5. *His oath* (which he swa	refs: 罗马 50 读成数字 1（按全书引用体例）
105	ypt is found also in the history, Gen. 1. 7. *At his pleasure,* liter	ypt is found also in the history, Gen. l. 7. *At his pleasure,* liter	refs: 罗马 50 读成数字 1（按全书引用体例）
105	. 3, xxxv. 14, ci. 2, and compare Gen. V. 22, xvii. 1, xxiv. 6, 9, 40	. 3, xxxv. 14, ci. 2, and compare Gen. v. 22, xvii. 1, xxiv. 6, 9, 40	refs: 章节号是大写罗马数字（按全书引用体例）
106	enant, propounded at the close of Ps, cv., is here acknowledged	enant, propounded at the close of Ps. cv., is here acknowledged	refs: 书卷缩写后是逗号（按全书引用体例）
106	id. With the first clause compare Josh, xxiii. 12, 13, Judges iii	id. With the first clause compare Josh. xxiii. 12, 13, Judges iii	refs: 书卷缩写后是逗号（按全书引用体例）
106	e Exod. xiv. 31; with the second, Exod. XV. 1.	e Exod. xiv. 31; with the second, Exod. xv. 1.	refs: 章节号是大写罗马数字（按全书引用体例）
106	rm of expression is borrowed from Gen. XV. 6; but what is here meant i	rm of expression is borrowed from Gen. xv. 6; but what is here meant i	refs: 章节号是大写罗马数字（按全书引用体例）
106	 10. With the last clause compare Num. XXXV. 33.	 10. With the last clause compare Num. xxxv. 33.	refs: 章节号是大写罗马数字（按全书引用体例）
106	2; with the second. Num. xiv. 19, Ps. V. 8 (7), lxix. 14 (13), Neh. 	2; with the second. Num. xiv. 19, Ps. v. 8 (7), lxix. 14 (13), Neh. 	refs: 章节号是大写罗马数字（按全书引用体例）
107	em. With the first clause compare Ps. 1. 14.	em. With the first clause compare Ps. l. 14.	refs: 罗马 50 读成数字 1（按全书引用体例）
107	litical. Compare Isa. xliv. 26, 27, 1. 2, Jer. 1. 88, li. 36. It t	litical. Compare Isa. xliv. 26, 27, l. 2, Jer. 1. 88, li. 36. It t	refs: 罗马 50 读成数字 1（按全书引用体例）
107	 Compare Isa. xliv. 26, 27, l. 2, Jer. 1. 88, li. 36. It thus prepare	 Compare Isa. xliv. 26, 27, l. 2, Jer. l. 88, li. 36. It thus prepare	refs: 罗马 50 读成数字 1（按全书引用体例）
107	slated *craving* is borrowed from Isa, xxix. 8.	slated *craving* is borrowed from Isa. xxix. 8.	refs: 书卷缩写后是逗号（按全书引用体例）
107	hteous are the true Israel, as in Ps, xxxiii, 1, Num. xxiii, 10	hteous are the true Israel, as in Ps. xxxiii, 1, Num. xxiii, 10	refs: 书卷缩写后是逗号（按全书引用体例）
108	ble in this case than in those of Ps, xviii, liii., lxx. The be	ble in this case than in those of Ps. xviii, liii., lxx. The be	refs: 书卷缩写后是逗号（按全书引用体例）
108	a period posterior to the date of Ps, lvii, and lx. The comment	a period posterior to the date of Ps. lvii, and lx. The comment	refs: 书卷缩写后是逗号（按全书引用体例）
108	confined to the variations, as in Ps, liii. and lxx.	confined to the variations, as in Ps. liii. and lxx.	refs: 书卷缩写后是逗号（按全书引用体例）
109	is scattered by the wind. Compare Exod. X. 19, Joel ii. 20, Nah. iii. 	is scattered by the wind. Compare Exod. x. 19, Joel ii. 20, Nah. iii. 	refs: 章节号是大写罗马数字（按全书引用体例）
