# 影像判读未过闸，需人工复核
篇	OCR串	影像读数	二遍	原因	上下文
119	DJ	גם	?	互证闸：证人/二遍不一致	wo of the verses in the stanza ending here begin with (DJ) *also,* and two with pj), though in different senses.
119	pj	גל	?	互证闸：证人/二遍不一致	tanza ending here begin with (DJ) *also,* and two with pj), though in different senses. <!-- PAGE 493 --> <span
119	rwe	*me*	?	互证闸：证人/二遍不一致	 That *thy servant* is not a mere periphrasis for 7 or rwe in ver. 122 and elsewhere, appears from the first clau
119	iif	שׂ	שׁ	互证闸：证人/二遍不一致	serve* or *keep.* It is also worthy of remark - T that iif and *]i}* are treated as one letter, three of the vers
122	ni^nii^	שֶׁחֻבְּרָה	?	互证闸：证人/二遍不一致	as written. See 2 Sam. v. 9. The abbreviated relative (ni^nii^) has by some been made a proof of later date; but it n
130	watch/or	watch for	?	互证闸：证人/二遍不一致	 baldness of the iteration, *I say more than they that watch/or the morning.* The comparison suggested is between the 
132	^^T	זכר	זכר ל	互证闸：证人/二遍不一致	without necessity. The same verb and preposition *(b* "^^T) are combined elsewhere, in the sense of remembering s
132	neighbournood	neighbourhood	neighbournood	判词闸：['neighbourhood'] 不是真词	 when he found it in the fields of the wood, or in the neighbournood of *Kirjath-jearim,* which name means Forest-town or C
132	hasjhere	has'here	?	判词闸：["has'here"] 不是真词	Ps. lxviii. 2(1). The word translated *resting-place,* hasjhere its proper meaning as a local noun. The last clause sh
132	prayer/or	prayer *for*	for	互证闸：证人/二遍不一致	e frequency with which God is urged to hear and answer prayer/or *David's sake* (1 Kings xi. 12, 13, xv. 4, 2 Kings vii
132	aficc^avrmv	ἀμαϱάντινον	?	互证闸：证人/二遍不一致	ell with the idea of a wreath or chaplet. Compare the *aficc^avrmv CTifavov* of 1 Pet. V. 4. Some prefer, however, to ret
132	CTifavov	στέφανον	?	互证闸：证人/二遍不一致	 idea of a wreath or chaplet. Compare the *aficc^avrmv CTifavov* of 1 Pet. V. 4. Some prefer, however, to retain what 
133	Dil	גַּם	?	互证闸：证人/二遍不一致	itle which ascribes it to David. The idiomatic use of (Dil) *also* in the last clause is not easily transferred t
135	sendelh	sendeth	?	互证闸：证人/二遍不一致	t, or according to the paraphrase in the Prayer Book, *sendelh forth lightnings with the rain.* With the last clause 
136	plm-al	plural	?	互证闸：证人/二遍不一致	s* does not here mean false gods, but is a superlative plm-al qualifying that before it. See above, on Ps. lxxvii. 1
137	i/1	if I	if I prefer	互证闸：证人/二遍不一致	he one paraphrastically given in the English version, *i/1 prefer not Jerusalem above my chief joy.* <span class
138	strengthenedst	strengtnenedst	strengtnenedst	判词闸：['strengtnenedst'] 不是真词	), lxi. 6 (5). The common version of the last clause *(strengthenedst me with strength in my aoul),* contains a paronomasia 
139	/or	for	?	互证闸：证人/二遍不一致	e preceding context. God is omnipresent and omniscient,/or he is the maker of the universe. <!-- PAGE 548 --> <s
139	literally/ear/i&lt	fearful	literally *fearful*	互证闸：证人/二遍不一致	ticle 03 7^) like *for that, forasmuch as. Fearfully,* literally/ear/i&lt;Z *(things),* but used adverbially, as in Ps. lxv. 6 (
139	foetus	fœtus	fœtus	判词闸：['tus'] 不是真词	or unformed, or more specifically that of an embryo or foetus. The next difficulty lies in the expression *all of the
139	j^^	לא	?	互证闸：证人/二遍不一致	sage is clearly determined by the context. Instead of (j^^) *not,* the keri or marginal reading in the Hebrew Bib
139	i^	לו	?	互证闸：证人/二遍不一致	 the keri or marginal reading in the Hebrew Bible has (i^) *to him,* a variation to which no one has succeeded i
141	n^3	פלח	פלה	互证闸：证人/二遍不一致	 of this obscure comparison. As the first Hebrew verb (n^3), in its derivative forms, has the general sense of *c
141	3My	My eyes are unto thee,	My	互证闸：证人/二遍不一致	before us contains several favourite Davidic phrases. *3My eyes are unto thee,* Ps. xxv. 15. *In thee have I conf
144	ffe	He in whom I trust,	He	互证闸：证人/二遍不一致	 which was closed and yet perpetuated in the Messiah, *ffe in whom I trust,* literally *and in him I ti-usL My pe
144	ti-usL	trust.	?	互证闸：证人/二遍不一致	essiah, *ffe in whom I trust,* literally *and in him I ti-usL My people,* in its widest sense, including Israel and 
144	^7NJ	אַלּוּף	?	互证闸：证人/二遍不一致	y* a war-cry. But the first Hebrew word in question (C)!^7NJ) is applied only to the chiefs of Edom (Gen. xxxvi. 15
148	preposition/row	from	preposition *from*	互证闸：证人/二遍不一致	ation. Compare the singular in Ps. xviii. 17 (16). The preposition/row denotes the direction of the sound, the preposition *i
